[ 2024-01-06 22:06:44,411 ] 58 datasets - INFO - PyTorch version 2.1.2 available.
[ 2024-01-06 22:07:11,647 ] 30 root - INFO - yaml file: config\config.yaml loaded successfully
[ 2024-01-06 22:07:11,665 ] 30 root - INFO - yaml file: params.yaml loaded successfully
[ 2024-01-06 22:07:11,667 ] 49 root - INFO - created directory at: artifacts
[ 2024-01-06 22:07:11,669 ] 49 root - INFO - created directory at: artifacts/model_trainer
[ 2024-01-06 22:12:08,437 ] 30 root - INFO - yaml file: config\config.yaml loaded successfully
[ 2024-01-06 22:12:08,445 ] 30 root - INFO - yaml file: params.yaml loaded successfully
[ 2024-01-06 22:12:08,447 ] 49 root - INFO - created directory at: artifacts
[ 2024-01-06 22:12:08,448 ] 49 root - INFO - created directory at: artifacts/model_trainer
